learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
33800.0,1.018449617,0.0,33800.0,63.4,17.906296542195268,23.430962343096233,3.174603174603177,3151.0,0.0,0.0,0.0
33900.0,1.02122823,0.0,33900.0,64.5,20.134983127109116,24.947145877378436,5.3333333333333375,3251.0,0.0,0.0,0.0
34000.0,1.023932368,0.0,34000.0,64.4,19.59345002823264,24.735729386892178,5.066666666666672,3351.0,0.0,0.0,0.0
34100.0,1.026711293,0.0,34100.0,65.3,20.864425024173983,25.21551724137931,5.70652173913044,3451.0,0.0,0.0,0.0
34200.0,1.029490044,0.0,34200.0,66.4,23.436951696919706,29.55974842767296,9.433962264150953,3551.0,0.0,0.0,0.0
34300.0,1.032204844,0.0,34300.0,66.9,25.028312570781434,31.04166666666667,11.733333333333345,3651.0,0.0,0.0,0.0
34400.0,1.035023219,0.0,34400.0,66.3,24.16809929703604,29.64509394572025,10.610079575596826,3751.0,0.0,0.0,0.0
34500.0,1.037798045,0.0,34500.0,66.60000000000001,25.524893415865435,30.125523012552307,13.471502590673587,3851.0,0.0,0.0,0.0
34600.0,1.04053552,0.0,34600.0,67.2,26.26827557681588,30.508474576271194,13.227513227513239,3951.0,0.0,0.0,0.0
34700.0,1.043298471,0.0,34700.0,67.0,25.655582589889175,30.526315789473692,12.698412698412708,4051.0,0.0,0.0,0.0
34800.0,1.04607287,0.0,34800.0,67.5,26.41931481665958,29.80561555075594,12.398921832884108,4151.0,0.0,0.0,0.0
34900.0,1.048784283,0.0,34900.0,66.60000000000001,24.337500056633615,27.705627705627705,9.973045822102435,4251.0,0.0,0.0,0.0
35000.0,1.051535446,0.0,35000.0,66.10000000000001,23.72561019511844,26.30434782608696,8.870967741935491,4351.0,0.0,0.0,0.0
35100.0,1.054442598,0.0,35100.0,64.60000000000001,20.65021989303471,24.034334763948497,6.100795755968176,4451.0,0.0,0.0,0.0
35200.0,1.057243174,0.0,35200.0,63.800000000000004,19.77092604741052,21.81425485961123,6.217616580310886,4551.0,0.0,0.0,0.0
35300.0,1.059975674,0.0,35300.0,63.4,20.011888943282745,21.12068965517241,8.040201005025132,4651.0,0.0,0.0,0.0
35400.0,1.062707712,0.0,35400.0,64.60000000000001,23.442906574394474,24.840764331210192,12.807881773399025,4751.0,0.0,0.0,0.0
35500.0,1.065486438,0.0,35500.0,65.0,23.979148566463955,25.213675213675213,12.50000000000001,4851.0,0.0,0.0,0.0
35600.0,1.068226238,0.0,35600.0,65.60000000000001,26.001454157470633,27.426160337552748,15.892420537897323,4951.0,0.0,0.0,0.0
35700.0,1.070985376,0.0,35700.0,65.0,24.710781846263725,24.892703862660944,14.425427872860647,5051.0,0.0,0.0,0.0
35800.0,1.073707563,0.0,35800.0,64.4,23.68899406660494,25.366876310272534,12.745098039215696,5151.0,0.0,0.0,0.0
35900.0,1.076461389,0.0,35900.0,64.9,24.819438137749636,25.949367088607595,14.180929095354536,5251.0,0.0,0.0,0.0
36000.0,1.079264102,0.0,36000.0,64.1,22.73920716222614,24.89539748953975,11.358024691358034,5351.0,0.0,0.0,0.0
36100.0,1.082022341,0.0,36100.0,66.0,26.09723864505809,28.870292887029294,14.141414141414153,5451.0,0.0,0.0,0.0
36200.0,1.084799567,0.0,36200.0,66.2,26.0380925705483,29.140461215932916,12.88659793814434,5551.0,0.0,0.0,0.0
36300.0,1.087675231,0.0,36300.0,65.60000000000001,24.773555280502794,28.925619834710748,11.11111111111112,5651.0,0.0,0.0,0.0
36400.0,1.090521808,0.0,36400.0,64.3,22.17881868754688,25.625000000000004,8.928571428571436,5751.0,0.0,0.0,0.0
36500.0,1.093287734,0.0,36500.0,63.4,20.689610338954395,23.75,7.808564231738043,5851.0,0.0,0.0,0.0
36600.0,1.096015321,0.0,36600.0,62.9,18.974403773914574,24.746450304259636,5.357142857142862,5951.0,0.0,0.0,0.0
36700.0,1.09881871,0.0,36700.0,63.5,20.17879948914432,24.58677685950413,6.649616368286451,6051.0,0.0,0.0,0.0
36800.0,1.101592035,0.0,36800.0,64.3,21.611509274873537,26.239669421487605,7.989690721649491,6151.0,0.0,0.0,0.0
36900.0,1.104355786,0.0,36900.0,64.4,21.746890757780264,27.198364008179958,8.483290488431884,6251.0,0.0,0.0,0.0
